"Study","UID","Location","Age","Sex","Trial","Odor","Free"
"Field","F_11","Tate","Under_50","Female",1,"orange","ointment-like you would find in a spa"
"Field","F_11","Tate","Under_50","Female",2,"rose","flowery"
"Field","F_11","Tate","Under_50","Female",3,"fish","none"
"Field","F_11","Tate","Under_50","Female",4,"garlic","garlic"
"Field","F_11","Tate","Under_50","Female",5,"peppermint","peppermint"
"Field","F_11","Southwark","Under_50","Female",1,"fish","fish"
"Field","F_11","Southwark","Under_50","Female",2,"garlic","garlic"
"Field","F_11","Southwark","Under_50","Female",3,"peppermint","peppermint"
"Field","F_11","Southwark","Under_50","Female",4,"rose","none"
"Field","F_11","Southwark","Under_50","Female",5,"orange","orange"
"Field","F_11","Borough","Under_50","Female",1,"peppermint","peppermint"
"Field","F_11","Borough","Under_50","Female",2,"garlic","garlic"
"Field","F_11","Borough","Under_50","Female",3,"fish","fish"
"Field","F_11","Borough","Under_50","Female",4,"rose","none"
"Field","F_11","Borough","Under_50","Female",5,"orange","orange"
"Field","F_12","Tate","Under_50","Male",1,"peppermint","peppermint"
"Field","F_12","Tate","Under_50","Male",2,"rose","none"
"Field","F_12","Tate","Under_50","Male",3,"fish","none"
"Field","F_12","Tate","Under_50","Male",4,"garlic","none"
"Field","F_12","Tate","Under_50","Male",5,"orange","orange"
"Field","F_12","Southwark","Under_50","Male",1,"orange","none"
"Field","F_12","Southwark","Under_50","Male",2,"garlic","garlic"
"Field","F_12","Southwark","Under_50","Male",3,"peppermint","none"
"Field","F_12","Southwark","Under_50","Male",4,"rose","none"
"Field","F_12","Southwark","Under_50","Male",5,"fish","fish"
"Field","F_12","Borough","Under_50","Male",1,"fish","fish"
"Field","F_12","Borough","Under_50","Male",2,"garlic","garlic"
"Field","F_12","Borough","Under_50","Male",3,"rose","none"
"Field","F_12","Borough","Under_50","Male",4,"peppermint","peppermint"
"Field","F_12","Borough","Under_50","Male",5,"orange","orange"
"Field","F_13","Tate","Under_50","Male",1,"orange","none"
"Field","F_13","Tate","Under_50","Male",2,"rose","none"
"Field","F_13","Tate","Under_50","Male",3,"fish","fishy"
"Field","F_13","Tate","Under_50","Male",4,"peppermint","peppermint"
"Field","F_13","Tate","Under_50","Male",5,"garlic","none"
"Field","F_13","Southwark","Under_50","Male",1,"garlic","garlic"
"Field","F_13","Southwark","Under_50","Male",2,"rose","fruity, berry"
